id;date_commande;adresse_livraison;frais_service;net_a_payer;state;date_paiement;methode_paiement
1;2022-04-15T05:08:06;Centralized generate synergize;80404;92480;READY;2022-04-14T23:12:47;Paypal
2;2022-04-15T15:26:57;Namibie AGP;51998;9003;DELIVERED;2022-04-15T11:18:50;CB
3;2022-04-15T05:43:04;Books leading-edge;85744;64785;COOKING;2022-04-15T09:56:14;Cheque
4;2022-04-14T20:42:53;compressing;94530;2263;READY;2022-04-15T04:01:04;Google
5;2022-04-15T04:38:50;reserved;55903;50262;READY;2022-04-15T07:06:02;Bitcoin
6;2022-04-14T21:51:00;Berkshire;35415;81817;COOKING;2022-04-14T16:14:20;Bitcoin
7;2022-04-15T02:54:06;Bedfordshire COM Directeur;91311;2323;NEW;2022-04-15T13:34:06;Paypal
8;2022-04-14T23:01:37;b;17304;5229;READY;2022-04-15T10:11:37;Bitcoin
9;2022-04-15T05:39:52;Tools Lats;47245;99124;READY;2022-04-14T22:22:15;Mastercard
10;2022-04-14T21:03:33;Technicien;56216;22726;DELIVERED;2022-04-14T23:00:53;Apple
