id;nom;description;tags;adresse;frais_livraison;heure_o_uverture;heure_fermeture;evaluation
1;initiative;Riel projection Rubber;Tunisian connect embrace;heuristic payment;89335;Unbranded;b;79067
2;Account Mouse b;SMTP Computer e-markets;Dominique;Vision-oriented productize;3878;Bedfordshire Designer application;b;28750
3;invoice deliver Computer;matrix;CSS Garden Nord-Pas-de-Calais;Corse;16654;open-source Avon;Azerbaïdjan Visionary;67212
4;Investment;Plastic;Credit;connect;36298;quantifying démocratique maroon;Business-focused c RAM;26021
5;Bedfordshire;bypass withdrawal system;Account Côte deposit;Liberia Buckinghamshire;58;Specialiste;Danemark synergies invoice;80311
6;c;connect;recontextualize interactive;plug-and-play;51855;Account c Saint-Honoré;XSS;3971
7;transform a;deposit Cotton;engineer;du;16395;panel Ingenieur;networks parallelism;45996
8;reciprocal;invoice Small Designer;invoice cross-platform Koweït;deposit;87477;invoice Rhône-Alpes Buckinghamshire;Uruguay Superviseur Victoire;58975
9;applications;Languedoc-Roussillon;a;Ingenieur alarm;53678;B2C invoice;Kids c mobile;31079
10;Kwacha;Games back-end;Dirham Wooden paradigm;infrastructures FTP;42227;expedite de Djibouti;Concrete;39171
